Food Name,Protein Value
MUSTARD SEEDS,20.0
NIGER SEEDS,23.9
PISTACHIONUT,19.8
PIYAL SEEDS,19.0
SAFFLOWER SEEDS,13.5
SUNFLOWER SEEDS,19.8
WALNUT,15.6
WATER MELON SEEDS (kernal),34.1
ARISITHIPPILI,13.2
ASAFOETIDA,4.0
CARDAMOM,10.2
"CHILLIES, dry",15.9
"CHILLIES, green",2.9
"CLOVES, dry",5.2
"CLOVES, green",2.3
CORIANDER,14.1
CUMIN SEEDS,18.7
FENUGREEK SEEDS,26.2
"GARLIC, dry",6.3
"GINGER, fresh",2.3
LIME PEEL,1.8
MACE,6.5
MANGO POWDER,2.8
NUTMEG,7.5
NUTMEG rind,1.0
OMUM,17.1
"PEPPER, dry",11.5
"PEPPER, green",4.8
PEPPALI,6.4
POPPY SEEDS,21.7
TAMARIND PULP,3.1
TURMERIC,6.3
AMBADA,0.7
AMLA,0.5
APPLE,0.2
"APRICOT, fresh",1.0
"APRICOT, dried",1.6
AVOCADO PEAR,1.7
BAEL FRUIT,1.8
BANANA RIPE,1.2
BANYAN TREE FIGS,1.7
BILIMBI,0.5
BREAD FRUIT,1.5
BULLOCK'S HEART,1.4
CAPE GOOSEBERRY,1.8
CASHEW FRUIT,0.2
"CHERRIES, red",1.1
"CURRANTS, black",2.7
"DATES, dried",2.5
DATES fresh,1.2
FIGS (Ficus carcia),1.3
"GRAPES, blue variety",0.6
"GRAPES, Pale green variety",0.5
"GRAPE FRUIT, Marsh's seedless",1.0
"GRAPE FRUIT, triumph",0.7
"GUAVA, country",0.9
"GUAVA, hill",0.1
HARFAROWRIE,0.7
JACK FRUIT,1.9
"JAMB, safed",0.1
JAMBU FRUIT,0.7
KORUKKAPALLI,2.7
LAKUCH,0.7
LEMON,1.0
LEMON SWEET,0.7
LICHI,1.1
"LICHIES, bastard",1.4
LIME,1.5
"LIME, sweet, malta",0.7
"LIME, sweet, musambi",0.8
LOQUAT,0.6
MAHUA,1.4
MANGO RIPE,0.6
MANGOSTEEN,0.5
"MELON, musk",0.3
"MELON, sweeter",0.2
MULBERRY,1.1
ORANGE,0.7
ORANGE JUICE,0.2
PALMYRA FRUIT ripe (mesocarp),0.7
"PALMYRA FRUIT, tender",0.6
"PAPAYA, ripe",0.6
PASSION FRUIT,0.9
PASSION FRUIT JUICE,1.2
PEACHES,1.2
PEARS,0.6
PERSIMMON,0.7
PHALSA,1.3
PINE APPLE,0.4
PLUM,0.7
POMEGRANATE,1.6
PRUNES,0.5
PUMMELO,0.6
QUINCE,0.3
RAISINS,1.8
RASPBERRY,1.0
ROSE APPLE,0.7
SAPOTA,0.7
SEETHAPHAL,1.6
STRAWBERRY,0.7
TOMATO RIPE,0.9
TOMATILO,0.7
TREE TOMATO,1.5
WOOD APPLE,7.1
ZIZYPHUS,0.8
AIR,15.9
ANCHOVY,19.3
BACHA,18.1
BAM,16.1
BASPATA MACHLI,18.2
"BATA, small varieties",14.3
BELEY,14.5
"BHANGER, fresh",14.8
BHAGON dried,61.5
BHANGAN BATA,19.4
BHEKTI fresh,14.9
BHEKTI dried,60.2
BHOLA,15.2
BIG JAWED JUMPER,19.4
BOAL,15.4
"BOMBAY DUCK, dried",61.7
BLUE MUSSEL,9.9
CAT FISH,21.4
CHELA,14.6
CHELA dried,64.8
CHINGRI small dried,62.4
"CHINGRI goda, dried",60.0
CHITAL,18.6
CRAB muscle,8.9
CRAB small,11.2
FOLUI,19.0
GHOL,18.4
GOGGLER,18.7
"HERRING, Indian",20.3
HERRING ox-eyed,20.7
HILSA,21.8
HORSE MACKEREL,21.2
INDIAN WHITING,19.2
JEW FISH (kora),18.8
JEW FISH (pallikora),20.0
KALABASU,14.7
KATLA,19.5
KHORSULA,16.3
KHOYRA fresh,18.0
KHOYRA dried,58.9
KOI,14.8
KOOCHA MACHLI,18.7
LATA,19.4
LOBSTER,20.5
MACKEREL,18.9
MAGUR,15.0
MAHASOLE,25.2
"MANDELI, dried",52.5
MRIGAL,19.5
MULLET,19.1
MUSHI dried,67.0
"MUSSEL, fresh water",14.5
"MUTIJELLA, dried",63.6
OIL SARDINE,19.6
PABDA,19.2
PANGAS,14.2
PARSEY fresh,17.5
PARSEY dried,65.0
"POMFRETS, black",20.3
"POMFRETS, white",17.0
PRAWN,19.1
PUTI,18.1
RAVAS,22.2
RAY,20.9
RIBBON FISH fresh,18.1
RIBBON FISH dried,76.1
ROHU,16.6
SARDINE,21.0
SARPUTI,16.5
SHARK,21.6
"SHRIMP (small, dried)",68.1
SEER,22.5
SILVER BELLY,19.2
SINGHALA,20.9
SINGHI,22.8
SOLE,16.2
SOLE (malahar),19.5
SURMAI fresh,19.9
SURMAI dried,38.6
TAPRA (dried),62.3
TAPSI (dried),58.5
TARTOOR,18.2
TENGRA fresh,19.2
TENGRA dried,54.9
TUNNY,23.8
WHITE BAIT,14.5
BEEF meal,79.2
BEEF muscle,22.6
BUFFALO MEAT,19.4
DUCK,21.6
"EGG, duck",13.5
"EGG, hen",13.3
"EGG, turtle",12.2
FINCH,26.6
FOWL,25.9
GOAT MEAT (lean),21.4
GREY QUAIL,21.9
LIVER GOA5,20.0
LIVER SHEEP,19.3
"MUTTON, muscle",18.5
PIGEON,23.3
"PORK, muscle",18.7
RUFF AND REEVE,25.9
"SNAIL, small",12.6
"SNAIL, big",10.5
TURTLE'S MEAT,16.5
VENISON,21.0
MILK (ass),2.1
MILK (buffalo),4.3
MILK (cow),3.2
MILK (goat),3.3
MILK (human),1.1
CURDS (cow milk),3.1
BUTTER MILK,0.8
"SKIMMED MILK, liquid",2.5
CHANNA (cow milk),18.3
CHANNA ( buffalo milk),13.4
CHEESE,24.1
KHOA (whole buffalo milk),14.6
KHOA (skimmed buffalo milk),22.3
KHOA (whole cow milk),20.0
SKIMMED MILK POWDER (cow milk),38.0
WHOLE MILK POWDER (cow milk),25.8
BUTTER,0.0
GHEE (cow),0.0
GHEE (buffalo),0.0
HYDROGENATED OIL (fortified),0.0
"COOKING OIL (Gnut,ging,palm,must,coconut",0.0
SUGAR CANE,0.1
HONEY,0.3
JAGGERY (cane),0.4
JAGGERY (coconut),1.0
JAGGERY (date palm),1.5
JAGGERY (fan palm),1.0
JAGGERY (sago palm),2.3
SAGO,0.2
PACHWAI (Assam),3.0
"TODDY, fermented",0.1
"TODDY, sweet",0.1
NEERA,0.4
SUGAR CANE JUICE,0.1
AMARANTH SEEDS,14.7
BAMBOO SEEDS,13.1
BANTI,8.3
BUCK WHEAT,10.3
CHENOPODIUM ALBUM SEEDS,14.4
COWAGE SEED FLOUR,28.2
DAINCHA SEEDS,28.1
JOB'S TEARS,17.5
OATMEAL,13.6
KITTUL FLOUR,2.4
LOTUS SEED,17.2
MAKHANA,9.7
RAJKEERA SEEDS,16.5
WATER LILY SEEDS,8.3
GOA BEANS,32.7
MALMANDI,26.1
SUTARI,21.5
"BAMBOO, tender shoots",3.9
CEYLON PASALI,1.9
CHIMTI SAG,3.2
GIRIA SAG,2.0
GULCHARNI,1.3
KASINI KEERAT,1.9
KATHA SAG,1.9
KENA SAG,2.1
KHESARI LEAVES,6.1
KOILA KARHA SAG,3.0
KONAR SAG,3.6
KORLA LEAVES,6.1
MANAL KEERAI,2.4
MATA SAG (lupu),7.2
NACHUKOTTA KEERAI,4.3
NEEM LEAVES mature,7.1
NEEM LEAVES tender,11.6
PACHARISI KEERAI,4.7
PANNA KEERAI,3.8
PARWAR SAG,5.4
PASARAI KEERAI,1.7
PATUA SAG,5.1
POTATO LEAVES,4.4
PULIARA KEERAI,4.3
PUNNAKU KEERAI,6.1
PERANDAI,1.2
SARAVALLAI KEERAI,2.0
SARLI SAG,4.0
SEEMAI PONNANGANNI,3.3
SINDUAR SAG,2.0
"SINDUAR, (wild)",1.1
SONCHAL SAG,4.3
SOYA LEAVES,6.0
SWEET POTATO LEAVES,4.2
THOODUVALAI KEERAI,3.9
VEETHI KEERAI,7.5
VELAIKEERAI,6.5
VELLA KEERAI,5.6
WATER CRESS,2.9
BOKWA,2.9
BUDHIA,0.7
BID ROOT,2.1
"CANNA, edible",1.1
CHUMBIA,1.8
CHURKIA,1.6
EPIDONG SANGA,2.2
GARMAR,0.3
JIPOO SANGA,0.6
LOTUS ROOT,1.7
MOOR SANGA,2.1
MURUM SANGA,1.4
OCHEN SANGA,1.5
SONG,2.3
TURUM SANGA,1.9
"WATER LILY, red",4.1
"WATER LILY, white",3.1
AGATHI FLOWERS,1.0
ARTICHOKE,3.6
BAGNAHA,6.1
"BOROOEE, raw",1.5
CHALTHA,0.8
KANDAN KATHIRI,3.1
"LOTUS SEED, green and mature",3.9
MADAPU GINJA,20.2
MUSHROOM,3.1
PHUTKA CHATTOO,3.9
NISORHA FLOWERS,4.7
RHUBARB STALKS,1.1
SANGA KA PHAL,1.5
SANNHEMP FLOWERS,4.8
"SEA WEEDS, fresh",0.8
"SEA WEEDS, dry",10.8
SILK COTTON FLOWERS,1.5
TETROLOBAR BEAN,1.9
WATER LILY FLOWERS,1.6
ADDA SEED (kernel),27.3
JUNGLI BADAM,11.4
OYSTER NUT,29.7
MANGO SEED KERNEL,2.6
ROSELLE SEEDS,20.9
BAJJAR BHANG,17.2
"TAMARIND SEED KERNEL, roasted",16.1
PUMPKIN SEED,24.3
OKRA (whole seed),21.1
OKRA (kernel),38.9
CLEOME VISCOSA defatted seed cake,20.4
MARKING NUT (kernel),26.4
BAINCHA,1.7
BAMBOO FRUIT,3.9
BLACKBERRY,1.3
BOROOEE,2.0
CARAMBOLA,0.7
CHERIMOYER,1.3
DURIAN,2.8
GAB,1.4
JURMATA,4.8
KESAUR,1.6
KILA PAZHAM,0.8
KUSUM FRUITS,1.5
LANGSAT,0.8
"MATASURA, whole fruit",1.9
"MATASURA, skin & pulp",2.3
MULCHARI,1.8
NEEM FRUIT,1.3
NISORHA,1.8
PANIYALA,0.5
PAPA,3.7
PERAR,1.0
PIPAL TREE FIGS,2.5
PIYAL,2.2
RAYAN,0.5
SIRK,3.2
STAR APPLE,0.3
THAVITTU PAZHAM,0.6
TUMKI,0.8
VIKKI PAZHAM,1.4
BOORDOOD,49.3
DHAUNS,19.6
FIELD RAT'S MEAT,23.6
MEAT OF NARROW SNOUTED CROCODILE,20.6
RED ANTS WITH EGGS,13.4
WOOD SAND PIPER,22.9
YEAST DRIED (brewer's),39.5
YEAST DRIED (food),35.7
Fruit juice 100 G,0.4
Tea with Milk 100 ml,0.0
Coffee with milk 100 ml,0.0
Common salt,0.0
Pappad,18.8
AJINAMOTO,0.0
VINEGAR,0.0
SOYA SAUCE,6.7
